(-1.098208,1.697909,0.2160153);(-1.163029,1.706382,0.6576692);(-0.2538817,-0.2381552,0.3003045,0.888056);
(-1.115074,1.699387,0.2150403);(-1.212761,1.693218,0.6519569);(-0.2581973,-0.2662548,0.3397751,0.8642889);
(-1.143723,1.700965,0.2130581);(-1.282526,1.666372,0.6479506);(-0.259439,-0.2970852,0.4102151,0.8222867);
(-1.170931,1.705158,0.2145972);(-1.321805,1.653324,0.656439);(-0.2602402,-0.3108319,0.4480948,0.796787);
(-1.171416,1.703784,0.2141332);(-1.318507,1.655087,0.6584383);(-0.2677692,-0.2988352,0.4490843,0.7983235);
(-1.164254,1.700233,0.2148493);(-1.293212,1.679062,0.6771619);(-0.276249,-0.2602844,0.4136732,0.8275341);
(-1.14199,1.695668,0.2154529);(-1.22412,1.695423,0.6948315);(-0.2575184,-0.2336757,0.3016684,0.8877364);
(-1.112378,1.694605,0.2177896);(-1.152273,1.66711,0.7067662);(-0.2213148,-0.2381815,0.2569813,0.9100824);
(-1.104154,1.694039,0.218665);(-1.135635,1.655929,0.7081763);(-0.2159143,-0.2377302,0.264442,0.9093601);
(-1.091445,1.692634,0.2204249);(-1.1109,1.637428,0.7098721);(-0.2092341,-0.230041,0.2842647,0.9069155);
(-1.069256,1.692167,0.2233155);(-1.070004,1.605511,0.7097575);(-0.1894782,-0.2284679,0.2704911,0.9158248);
(-1.060106,1.691416,0.2241064);(-1.055022,1.590966,0.7090247);(-0.1826311,-0.2279394,0.2812379,0.9141088);
(-1.026956,1.688783,0.2267287);(-0.9948215,1.529532,0.7060818);(-0.1405217,-0.2211444,0.2909926,0.920148);
(-1.00054,1.686014,0.2273784);(-0.9263946,1.474266,0.7037328);(-0.09556662,-0.1958657,0.2895818,0.9320119);
(-0.9807236,1.684547,0.2274663);(-0.8454604,1.436,0.7045527);(-0.04984071,-0.1546729,0.2938381,0.9419401);
(-0.9704969,1.683452,0.2278303);(-0.7781878,1.426006,0.7062542);(-0.02565618,-0.1060502,0.3014779,0.9472097);
(-0.9625531,1.683324,0.2273235);(-0.6908759,1.438925,0.7077816);(-0.007525332,-0.03550978,0.30518,0.9516026);
(-0.9617125,1.684329,0.2271663);(-0.6232843,1.475536,0.7081656);(-0.005258422,0.03066171,0.28884,0.9568717);
(-0.9638994,1.684994,0.2271116);(-0.5955384,1.50562,0.7077227);(-0.01132065,0.06058118,0.2888061,0.955402);
(-0.9670309,1.685416,0.2272415);(-0.5808024,1.5319,0.7077335);(-0.02001984,0.079004,0.2842486,0.9552802);
